Item type,Item ID,Compiler #,Cockpit priority,Urgency score,Phase,Suggested decision,Chapter or lane,Date,Title,Release or status,Pages,NAID or targets,Decision question,Next action,Pending tasks,Linked sheets,Source note or need,Catalog URL,PDF URL
Confirmed record,nsc-source-470761041,1.011,Critical,114,Resolve access,Defer or cite only,Afghanistan,1989-10-18,"NSC/DC 065A - October 18, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,8 pages,470761041; 90011-020,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #48: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 065A - October 18, 1989 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), 90011-020. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761041,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-65a-90011-020.pdf
Confirmed record,470426219-nsc-meeting-october-23-1989-re-afghanistan,1.012,Critical,114,Resolve access,Defer or cite only,Afghanistan,1989-10-23,"NSC Meeting - October 23, 1989 re: Afghanistan",Restricted - Possibly,24 pages,470426219; CF01625-008,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #34: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC Meeting - October 23, 1989 re: Afghanistan, CF01625-008. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426219,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-008.pdf
Confirmed record,nsc-source-470761101,2.012,Critical,114,Resolve access,Defer or cite only,Pakistan,1990-03-26,"NSC/DC 112 - March 26, 1990 - NSC/DC Meeting on Kashmir, Keywords: Pakistan",Restricted - Possibly,13 pages,470761101; 90013-024,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #49: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 112 - March 26, 1990 - NSC/DC Meeting on Kashmir, Keywords: Pakistan, 90013-024. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761101,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-112-90013-024.pdf
Confirmed record,nsc-source-470761103,3.007,Critical,114,Resolve access,Defer or cite only,India,1990-04-04,"NSC/DC 113 - April 04, 1990 - NSC/DC Meeting on Kashmir via SVTS, Keywords: India",Restricted - Possibly,41 pages,470761103; 90013-026,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #35: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 113 - April 04, 1990 - NSC/DC Meeting on Kashmir via SVTS, Keywords: India, 90013-026. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761103,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-113-90013-026.pdf
Confirmed record,nsc-source-470761116,2.013,Critical,114,Resolve access,Defer or cite only,Pakistan,1990-05-07,"NSC/DC 124 - May 07, 1990 - NSC/DC Meeting re: Pakistan Stingers, Keywords: Pakistan (File located @ LM)",Restricted - Possibly,42 pages,470761116; 90014-013,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #36: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 124 - May 07, 1990 - NSC/DC Meeting re: Pakistan Stingers, Keywords: Pakistan (File located @ LM), 90014-013. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761116,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-124-90014-013.pdf
Confirmed record,nsc-source-470761140,2.014,Critical,114,Resolve access,Defer or cite only,Pakistan,1990-06-28,"NSC/DC 147 - June 28, 1990 - NSC/DC Meeting on Pakistan's Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,24 pages,470761140; 90015-005,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #37: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 147 - June 28, 1990 - NSC/DC Meeting on Pakistan's Nuclear Program, Keywords: Pakistan, Nuclear Matters, 90015-005. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761140,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-147-90015-005.pdf
Confirmed record,470426229-nsc-dc-deputies-committee-meeting-june-30-1990-re-pakistan,2.015,Critical,114,Resolve access,Defer or cite only,Pakistan,1990-06-30,"NSC/DC [Deputies Committee] Meeting - June 30, 1990 Re: Pakistan",Restricted - Possibly,14 pages,470426229; CF01625-018,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #50: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, NSC/DC [Deputies Committee] Meeting - June 30, 1990 Re: Pakistan, CF01625-018. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426229,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-018.pdf
Confirmed record,nsc-source-470761146,2.016,Critical,114,Resolve access,Defer or cite only,Pakistan,1990-07-09,"NSC/DC 154 - July 09, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,10 pages,470761146; 90015-012,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #51: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 154 - July 09, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters, 90015-012. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761146,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-154-90015-012.pdf
Confirmed record,nsc-source-470761184,2.018,Critical,114,Resolve access,Defer or cite only,Pakistan,1990-08-31,"NSC/DC 190 - August 31, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,37 pages,470761184; 90016-018,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #38: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 190 - August 31, 1990 - NSC/DC Meeting on Pakistan Nuclear Program, Keywords: Pakistan, Nuclear Matters, 90016-018. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761184,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-190-90016-018.pdf
Confirmed record,nsc-source-470761189,2.019,Critical,114,Resolve access,Defer or cite only,Pakistan,1990-09-05,"NSC/DC 193A - September 05, 1990 - NSC/DC Meeting on Pakistan, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,11 pages,470761189; 90016-023,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #52: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 193A - September 05, 1990 - NSC/DC Meeting on Pakistan, Keywords: Pakistan, Nuclear Matters, 90016-023. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761189,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-193a-90016-023.pdf
Confirmed record,nsc-source-470761204,2.020,Critical,114,Resolve access,Defer or cite only,Pakistan,1990-10-02,"NSC/DC 205 - October 02, 1990 - NSC/DC Meeting on Pakistan Nuclear Program via SVTS, Keywords: Pakistan, Nuclear Matters",Restricted - Possibly,24 pages,470761204; 90016-038,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #39: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 205 - October 02, 1990 - NSC/DC Meeting on Pakistan Nuclear Program via SVTS, Keywords: Pakistan, Nuclear Matters, 90016-038. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761204,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-205-90016-038.pdf
Confirmed record,470426235-dc-deputies-committee-meeting-october-4-1990-re-afghanistan,1.016,Critical,114,Resolve access,Defer or cite only,Afghanistan,1990-10-04,"DC [Deputies Committee] Meeting - October 4, 1990 re: Afghanistan",Restricted - Possibly,10 pages,470426235; CF01625-024,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #53: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, Richard N. Haass' Meeting Files, DC [Deputies Committee] Meeting - October 4, 1990 re: Afghanistan, CF01625-024. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470426235,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/haass/meeting_2554866/41-bpr-nsc-haass_meeting-cf01625-024.pdf
Confirmed record,nsc-source-470761206,1.017,Critical,114,Resolve access,Defer or cite only,Afghanistan,1990-10-05,"NSC/DC 207 - October 05, 1990 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan",Restricted - Possibly,26 pages,470761206; 90016-040,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #40: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 207 - October 05, 1990 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan, 90016-040. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761206,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-207-90016-040.pdf
Confirmed record,nsc-source-470761207,2.022,Critical,114,Resolve access,Defer or cite only,Pakistan,1990-10-05,"NSC/DC 208 - October 05, 1990 - NSC/DC Meeting on Pakistan via SVTS, Keywords: Pakistan",Restricted - Possibly,11 pages,470761207; 90017-001,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #54: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 208 - October 05, 1990 - NSC/DC Meeting on Pakistan via SVTS, Keywords: Pakistan, 90017-001. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761207,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-208-90017-001.pdf
Confirmed record,nsc-source-470760963,2.024,Critical,114,Resolve access,Defer or cite only,Pakistan,1990-10-09,"NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [1]",Restricted - Possibly,42 pages,470760963; 90002-025,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #41: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC Meetings Files, NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [1], 90002-025. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760963,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-56_1-90002-025.pdf
Confirmed record,nsc-source-470760964,2.025,Critical,114,Resolve access,Defer or cite only,Pakistan,1990-10-09,"NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [2]",Restricted - Possibly,42 pages,470760964; 90002-026,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #42: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC Meetings Files, NSC0056 - October 09, 1990 - Nuclear Matters, Middle East and Gulf, Proliferation [2], 90002-026. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470760964,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-56_2-90002-026.pdf
Confirmed record,nsc-source-470761272,1.018,Critical,114,Resolve access,Defer or cite only,Afghanistan,1991-03-05,"NSC/DC 260 - March 05, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,9 pages,470761272; 90019-003,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #55: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 260 - March 05, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), 90019-003. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761272,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-260-90019-003.pdf
Confirmed record,nsc-source-470761289,1.019,Critical,114,Resolve access,Defer or cite only,Afghanistan,1991-04-12,"NSC/DC 271 - April 12, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM)",Restricted - Possibly,7 pages,470761289; 90019-020,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #56: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 271 - April 12, 1991 - NSC/DC Meeting on Afghanistan, Keywords: Afghanistan (File located @ LM), 90019-020. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761289,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-271-90019-020.pdf
Confirmed record,nsc-source-470761301,1.020,Critical,114,Resolve access,Defer or cite only,Afghanistan,1991-05-17,"NSC/DC 282 - May 17, 1991 - NSC/DC Meeting on Angola and Afghanistan, Keywords: Angola, Afghanistan (File located @ NLMS)",Restricted - Possibly,1 page,470761301; 90020-001,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #57: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 282 - May 17, 1991 - NSC/DC Meeting on Angola and Afghanistan, Keywords: Angola, Afghanistan (File located @ NLMS), 90020-001. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761301,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-282-90020-001.pdf
Confirmed record,nsc-source-470761354,1.021,Critical,114,Resolve access,Defer or cite only,Afghanistan,1992-01-03,"NSC/DC 331 - January 03, 1992 - NSC/DC Meeting re: Afghanistan, Keywords: Afghanistan",Restricted - Possibly,58 pages,470761354; 90021-019,"Can the item be selected, or should it remain deferred/cite-only because of access status?","Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.","Confirmed access-status decision: Confirm whether the item can be selected, needs access review, or should be cited only as withheld/restricted context.; High boundary #43: Does the PDF represent one selectable document, a folder-level bundle, or cite-only restricted context?; Access/source-note wording decision: Resolve whether the restricted item is selectable, cite-only, or deferred, then keep access language concise in the Source Note and full restriction details in provenance.; Access/declassification decision: The record is restricted or possibly restricted; selection depends on access status or a cite-only/withheld rationale.",compiler-decision-log.csv; compiler-selection-board.md; compiler-access-review.md; compiler-page-boundary-queue.md; compiler-source-note-finalization.md,"Source: George H.W. Bush Library, National Security Council, H-Files, NSC/DC Meetings Files, NSC/DC 331 - January 03, 1992 - NSC/DC Meeting re: Afghanistan, Keywords: Afghanistan, 90021-019. Access restriction: Restricted - Possibly.",https://catalog.archives.gov/id/470761354,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-331-90021-019.pdf
